trimesh\util.py:2064: DeprecationWarning: Using or importing the ABCs from 'collections' instead of from 'collections.abc' is deprecated since Python 3.3, and in 3.10 it will stop working
trimesh\voxel\runlength.py:205: DeprecationWarning: `np.bool` is a deprecated alias for the builtin `bool`. To silence this warning, use `bool` by itself. Doing this will not modify any behavior and is safe. If you specifically wanted the numpy scalar type, use `np.bool_` here.
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
2021-12-13 21:07:33,633 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin ConsoleLogger
2021-12-13 21:07:33,646 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin CuraDrive
2021-12-13 21:07:33,662 - INFO - [MainThread] CuraEngineBackend.CuraEngineBackend.__init__ [96]: Found CuraEngine at: D:\Programs\Cura\CuraEngine.exe
2021-12-13 21:07:33,664 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin CuraEngineBackend
2021-12-13 21:07:33,667 - DEBUG - [MainThread] UM.Backend.Backend._logSocketState [188]: Socket state changed to Listening
2021-12-13 21:07:33,676 - INFO - [MainThread] UM.Backend.Backend.startEngine [90]: Started engine process: D:\Programs\Cura\CuraEngine.exe
2021-12-13 21:07:33,677 - DEBUG - [MainThread] UM.Backend.Backend._backendLog [110]: [Backend] Calling engine with: ['D:\\Programs\\Cura\\CuraEngine.exe', 'connect', '127.0.0.1:49674', '']
2021-12-13 21:07:33,683 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin CuraProfileReader
2021-12-13 21:07:33,691 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin CuraProfileWriter
2021-12-13 21:07:33,712 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin DigitalLibrary
2021-12-13 21:07:33,721 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin OBJReader
2021-12-13 21:07:33,726 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] 
2021-12-13 21:07:33,727 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] Cura_SteamEngine version 4.12.1
2021-12-13 21:07:33,729 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] Copyright (C) 2021 Ultimaker
2021-12-13 21:07:33,730 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] 
2021-12-13 21:07:33,732 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] This program is free software: you can redistribute it and/or modify
2021-12-13 21:07:33,733 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] it under the terms of the GNU Affero General Public License as published by
2021-12-13 21:07:33,734 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] the Free Software Foundation, either version 3 of the License, or
2021-12-13 21:07:33,736 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] (at your option) any later version.
2021-12-13 21:07:33,737 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] 
2021-12-13 21:07:33,739 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] This program is distributed in the hope that it will be useful,
2021-12-13 21:07:33,740 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] but WITHOUT ANY WARRANTY; without even the implied warranty of
2021-12-13 21:07:33,742 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
2021-12-13 21:07:33,743 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] GNU Affero General Public License for more details.
2021-12-13 21:07:33,745 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] 
2021-12-13 21:07:33,746 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] You should have received a copy of the GNU Affero General Public License
2021-12-13 21:07:33,747 - DEBUG - [EngineErrorThread] UM.Backend.Backend._backendLog [110]: [Backend] along with this program.  If not, see <http://www.gnu.org/licenses/>.
2021-12-13 21:07:33,749 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin OBJWriter
2021-12-13 21:07:33,750 - DEBUG - [MainThread] UM.Backend.Backend._logSocketState [192]: Socket state changed to Connected
2021-12-13 21:07:33,752 - DEBUG - [MainThread] UM.Backend.Backend._onSocketStateChanged [181]: Backend connected on port 49674
2021-12-13 21:07:33,764 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin STLReader
2021-12-13 21:07:33,772 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin STLWriter
2021-12-13 21:07:33,778 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin FileLogger
2021-12-13 21:07:33,788 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin FirmwareUpdateChecker
2021-12-13 21:07:33,795 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin FirmwareUpdater
2021-12-13 21:07:33,801 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin GCodeGzReader
2021-12-13 21:07:33,808 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin GCodeGzWriter
2021-12-13 21:07:33,813 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin GCodeProfileReader
2021-12-13 21:07:33,823 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin GCodeReader
2021-12-13 21:07:33,829 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin GCodeWriter
2021-12-13 21:07:33,836 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin ImageReader
2021-12-13 21:07:33,841 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin LegacyProfileReader
2021-12-13 21:07:33,848 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin LocalContainerProvider
2021-12-13 21:07:33,856 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin LocalFileOutputDevice
2021-12-13 21:07:33,863 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin MachineSettingsAction
2021-12-13 21:07:33,869 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin ModelChecker
2021-12-13 21:07:33,876 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin MonitorStage
2021-12-13 21:07:33,884 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin PerObjectSettingsTool
2021-12-13 21:07:33,890 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin PostProcessingPlugin
2021-12-13 21:07:33,897 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin PrepareStage
2021-12-13 21:07:33,903 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin PreviewStage
2021-12-13 21:07:33,911 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin RemovableDriveOutputDevice
2021-12-13 21:07:33,918 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin SentryLogger
2021-12-13 21:07:33,931 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin SimulationView
2021-12-13 21:07:33,938 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin SliceInfoPlugin
2021-12-13 21:07:33,948 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin SolidView
2021-12-13 21:07:33,954 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin SupportEraser
2021-12-13 21:07:33,973 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin Toolbox
2021-12-13 21:07:33,980 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin CameraTool
2021-12-13 21:07:33,988 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin MirrorTool
2021-12-13 21:07:33,996 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin RotateTool
2021-12-13 21:07:34,003 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin ScaleTool
2021-12-13 21:07:34,009 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin SelectionTool
2021-12-13 21:07:34,016 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin TranslateTool
2021-12-13 21:07:34,021 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin TrimeshReader
2021-12-13 21:07:34,034 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin UFPReader
2021-12-13 21:07:34,041 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin UFPWriter
2021-12-13 21:07:34,047 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin UltimakerMachineActions
2021-12-13 21:07:34,102 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin UM3NetworkPrinting
2021-12-13 21:07:34,109 - INFO - [MainThread] UpdateChecker.UpdateChecker.checkNewVersion [68]: Checking for new version
2021-12-13 21:07:34,112 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin UpdateChecker
2021-12-13 21:07:34,145 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin USBPrinting
2021-12-13 21:07:34,155 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade21to22
2021-12-13 21:07:34,162 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade22to24
2021-12-13 21:07:34,169 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade25to26
2021-12-13 21:07:34,176 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade26to27
2021-12-13 21:07:34,182 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade27to30
2021-12-13 21:07:34,189 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade30to31
2021-12-13 21:07:34,195 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade32to33
2021-12-13 21:07:34,200 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade33to34
2021-12-13 21:07:34,205 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade34to35
2021-12-13 21:07:34,211 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade35to40
2021-12-13 21:07:34,217 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade40to41
2021-12-13 21:07:34,222 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade411to412
2021-12-13 21:07:34,229 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade41to42
2021-12-13 21:07:34,235 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade42to43
2021-12-13 21:07:34,243 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade43to44
2021-12-13 21:07:34,249 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade44to45
2021-12-13 21:07:34,254 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade45to46
2021-12-13 21:07:34,261 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade460to462
2021-12-13 21:07:34,268 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade462to47
2021-12-13 21:07:34,276 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade47to48
2021-12-13 21:07:34,282 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade48to49
2021-12-13 21:07:34,288 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin VersionUpgrade49to410
2021-12-13 21:07:34,295 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin SimpleView
2021-12-13 21:07:34,302 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin X3DReader
2021-12-13 21:07:34,311 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin XmlMaterialProfile
2021-12-13 21:07:34,318 - INFO - [MainThread] UM.Logger.info [128]: Loaded plugin XRayView
2021-12-13 21:07:34,320 - DEBUG - [MainThread] UM.PluginRegistry.loadPlugins [396]: Loading all plugins took 1.1652252674102783 seconds
2021-12-13 21:07:34,330 - INFO - [MainThread] UM.VersionUpgradeManager.upgrade [163]: Looking for old configuration files to upgrade.
2021-12-13 21:07:34,364 - INFO - [MainThread] UM.VersionUpgradeManager.upgrade [177]: Checking and performing updates took 0.03393912315368652
2021-12-13 21:07:34,371 - INFO - [MainThread] UM.Logger.info [128]: Completed loading preferences.
2021-12-13 21:07:34,384 - INFO - [MainThread] UM.Logger.info [128]: Created system tray icon.
2021-12-13 21:07:35,359 - DEBUG - [MainThread] UM.Settings.ContainerRegistry.loadAllMetadata [522]: Loading metadata into container registry took 0.9681551456451416 seconds
2021-12-13 21:07:35,370 - DEBUG - [MainThread] cura.Scene.CuraSceneController.setActiveBuildPlate [142]: Select build plate: 0
2021-12-13 21:07:35,372 - INFO - [MainThread] cura.CuraApplication.run [803]: Initializing machine error checker
2021-12-13 21:07:35,529 - WARNING - [MainThread] LocalContainerProvider.LocalContainerProvider._saveCachedDefinition [300]: The definition cache for definition ulti_steel failed to pickle.
2021-12-13 21:07:35,547 - INFO - [MainThread] cura.UI.MachineActionManager.addDefaultMachineActions [74]: Default machine actions added for machine definition [ulti_steel]
2021-12-13 21:07:35,566 - INFO - [MainThread] cura.Settings.GlobalStack.addExtruder [202]: Extruder[ulti_steel_extruder_0 #2] added to [Ulti-steel] at position [0]
2021-12-13 21:07:35,567 - INFO - [MainThread] FirmwareUpdateChecker.FirmwareUpdateChecker.checkFirmwareVersion [79]: No machine with name Ulti-steel in list of firmware to check.
2021-12-13 21:07:35,734 - DEBUG - [MainThread] cura.Machines.ContainerTree.__getitem__ [120]: Adding container tree for ulti_steel took 0.16362428665161133 seconds.
2021-12-13 21:07:35,737 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: ChangeAtZ
2021-12-13 21:07:35,737 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: ColorMix
2021-12-13 21:07:35,738 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: CreateThumbnail
2021-12-13 21:07:35,738 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: DisplayFilenameAndLayerOnLCD
2021-12-13 21:07:35,739 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: DisplayProgressOnLCD
2021-12-13 21:07:35,740 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: FilamentChange
2021-12-13 21:07:35,740 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: InsertAtLayerChange
2021-12-13 21:07:35,741 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: PauseAtHeight
2021-12-13 21:07:35,741 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: RetractContinue
2021-12-13 21:07:35,742 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: SearchAndReplace
2021-12-13 21:07:35,743 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: Stretch
2021-12-13 21:07:35,743 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: TimeLapse
2021-12-13 21:07:35,744 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin.loadScripts [204]: Begin loading of script: UsePreviousProbeMeasurements
2021-12-13 21:07:35,913 - WARNING - [MainThread] LocalContainerProvider.LocalContainerProvider._saveCachedDefinition [300]: The definition cache for definition fdmprinter failed to pickle.
2021-12-13 21:07:35,921 - INFO - [MainThread] cura.CuraApplication.run [808]: Initializing machine manager
2021-12-13 21:07:35,924 - INFO - [MainThread] cura.CuraApplication.run [813]: Initializing container manager
2021-12-13 21:07:35,928 - INFO - [JobQueueWorker [0]] STLReader.STLReader.load_file [53]: Using NumPy-STL to load STL data.
2021-12-13 21:07:36,087 - DEBUG - [MainThread] cura.OAuth2.AuthorizationService.loadAuthDataFromPreferences [239]: Attempting to load the auth data from preferences.
2021-12-13 21:07:36,093 - DEBUG - [MainThread] cura.Machines.MachineErrorChecker._rescheduleCheck [154]: New error check scheduled.
2021-12-13 21:07:36,095 - WARNING - [MainThread] UM.OutputDevice.OutputDeviceManager.removeOutputDevice [235]: Could not find output device with id digital_factory to remove
2021-12-13 21:07:36,097 - DEBUG - [JobQueueWorker [0]] UM.Mesh.MeshData.calculateNormalsFromVertices [558]: Calculating normals took 0.000997304916381836 seconds
2021-12-13 21:07:36,098 - DEBUG - [JobQueueWorker [0]] STLReader.STLReader._read [105]: Loaded a mesh with 23130 vertices
2021-12-13 21:07:36,117 - DEBUG - [MainThread] UM.Scene.Camera._preferencesChanged [255]: Changing perspective mode to perspective.
2021-12-13 21:07:36,190 - DEBUG - [MainThread] UM.Qt.Bindings.Theme.load [182]: Loading theme file: D:\Programs\Cura\resources\themes\cura-dark\theme.json
2021-12-13 21:07:36,193 - DEBUG - [MainThread] UM.Qt.Bindings.Theme.load [182]: Loading theme file: D:\Programs\Cura\resources\themes\cura-light\theme.json
2021-12-13 21:07:36,311 - DEBUG - [MainThread] UM.Qt.Bindings.Theme.load [287]: Loaded theme D:\Programs\Cura\resources\themes\cura-light
2021-12-13 21:07:36,313 - DEBUG - [MainThread] UM.Qt.Bindings.Theme.load [287]: Loaded theme D:\Programs\Cura\resources\themes\cura-dark
2021-12-13 21:07:36,559 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin._createView [342]: Creating post processing plugin view.
2021-12-13 21:07:36,605 - DEBUG - [MainThread] PostProcessingPlugin.PostProcessingPlugin._createView [352]: Post processing view created.
2021-12-13 21:07:36,680 - WARNING - [MainThread] UM.Qt.Bindings.Theme.getIcon [144]: The icon 'search' is deprecated. Please use icon 'Magnifier' instead.
